t	v0	v1
0.081	6.5302890203030515	3.720209921561155
0.08125	6.518226151186921	3.4901453177132282
0.0815	6.506070087313943	3.258225586480387
0.08175	6.493781712885133	3.024850500450566
0.082	6.481321912101505	2.790419832211927
0.08225	6.4686515691640665	2.555333354352618
0.0825	6.455731568273833	2.3199908394605586
0.08275	6.454409290658068	2.051448360408877
0.083	6.4530596707362635	1.7792395261076428
0.08325	6.451558239896364	1.5040116955012053
0.0835	6.449780529526313	1.2264122275339533
0.08375	6.447602071014066	0.9470884811502519
0.084	6.44489839574756	0.6666878152945068
0.08425	6.4415450351147525	0.3858575889109801
0.0845	6.437417520503589	0.10524516094412752
0.08475	6.432391383302005	-0.17450210966172056
0.085	6.426342154897959	-0.45273686396220786
0.08525	6.425716955951876	-0.7364752351783901
0.0855	6.431108863179894	-1.0295855197888848
0.08575	6.43598152257397	-1.3251668127077685
0.086	6.440115092042605	-1.6224574280501036
0.08625	6.443289729494276	-1.9206956799310406
0.0865	6.445285592837458	-2.219119882465666
0.08675	6.445882839980673	-2.5169683497690425
0.087	6.444861628832356	-2.8134793959563127
0.08725	6.4420021173010555	-3.107891335142523
0.0875	6.437084463295214	-3.3994424814427857
0.08775	6.431681394708575	-3.6853741753014564
0.088	6.426721807267352	-3.9692149414198274
0.08825	6.420559509650215	-4.253684712191008
0.0885	6.412954629545089	-4.5380872910241425
0.08875	6.40366729463992	-4.821726481328418
0.089	6.39245763262266	-5.103906086513075
0.08925	6.379085771181262	-5.383929909987248
0.0895	6.363311838003655	-5.661101755160151
0.08975	6.344895960777791	-5.934725425440945
0.09	6.314250949996494	-6.181417004959034
0.09025	6.282338650088679	-6.427991956360485
0.0905	6.248990055216063	-6.673942950287689
0.09075	6.2140361595402425	-6.918762657382893
0.091	6.177307957222993	-7.161943748288579
0.09125	6.138636442425951	-7.402978893646991
0.0915	6.097852609310846	-7.64136076410048
0.09175	6.054787452039255	-7.876582030291331
0.092	6.009271964773012	-8.108135362862004
0.09225	5.961137141673646	-8.335513432454661
0.0925	5.892143479538985	-8.513164737400594
0.09275	5.821529802528428	-8.688096632761741
0.093	5.749259942017335	-8.860140560745403
0.09325	5.67529772938099	-9.029127963559002
0.0935	5.599606995994607	-9.194890283409578
0.09375	5.522151573233474	-9.357258962504552
0.094	5.442895292472808	-9.516065443050877
0.09425	5.361801985087973	-9.671141167256131
0.0945	5.278835482454099	-9.822317577327372
0.09475	5.193959615946612	-9.969426115471997
0.095	5.0964642185111115	-10.084212878963225
0.09525	4.986325606487626	-10.165771714822862
0.0955	4.874317741434815	-10.242111916662395
0.09575	4.760562818846772	-10.31347097252763
0.096	4.645183034217636	-10.380086370464678
0.09625	4.528300583041568	-10.442195598519243
0.0965	4.410037660812539	-10.500036144737313
0.09675	4.290516463024822	-10.55384549716507
0.097	4.169859185172471	-10.60386114384815
0.09725	4.048188022749557	-10.650320572832715
0.0975	3.917662694501245	-10.676153529182908
0.09775	3.7775551878832534	-10.679454659926447
0.098	3.635761571124518	-10.67724577514179
0.09825	3.4925177981176585	-10.669993394142455
0.0985	3.3480598227551894	-10.658164036242143
0.09875	3.202623598929602	-10.642224220754596
0.099	3.05644508053349	-10.622640466993701
0.09925	2.9097602214593574	-10.599879294272979
0.0995	2.762804975599778	-10.574407221906256
0.09975	2.607522572105127	-10.541712855719766
0.1	2.4502585878628875	-10.503582028743386
0.10025	2.2913044299049896	-10.460502334227812
0.1005	2.130951505263285	-10.412961365423335
0.10075	1.9694912209696431	-10.361446715580511
0.101	1.8072149840559621	-10.306445977949714
0.10125	1.6444142015541199	-10.248446745781422
0.1015	1.481380280495999	-10.187936612326162
0.10175	1.3184046279134671	-10.125403170834241
0.102	1.155778650838407	-10.061334014556195
0.10225	0.9902854909522792	-10.01625067394358
0.1025	0.822999323174616	-9.967708434939116
0.10275	0.654228905777041	-9.916042359584795
0.103	0.4842829970311709	-9.86158750992272
0.10325	0.31347035520862354	-9.804678947994866
0.1035	0.1420997385810523	-9.74565173584324
0.10375	-0.029520094579964948	-9.684840935509916
0.104	-0.20108038600277617	-9.622581609036889
0.10425	-0.3722723774157513	-9.559208818466196
0.1045	-0.5427873105472952	-9.495057625839893
0.10475	-0.70881348073381	-9.443316440733692
0.105	-0.8717100886575071	-9.403313408857905
0.10525	-1.0352766051508748	-9.362038894184224
0.1055	-1.1992634276153857	-9.319641104643608
0.10575	-1.363420953452624	-9.276268248166982
0.106	-1.5274995800639912	-9.232068532685261
0.10625	-1.6912497048510255	-9.18719016612939
0.1065	-1.854421725215273	-9.141781356430295
0.10675	-2.0167660385581656	-9.09599031151888
0.107	-2.17803304228128	-9.049965239326093
0.10725	-2.3305363927736464	-9.008963793161467
0.1075	-2.474938402928359	-8.972681853745737
0.10775	-2.6188259943420378	-8.935944194633471
0.108	-2.762064538038805	-8.898823167842442
0.10825	-2.904519405042909	-8.861391125390398
0.1085	-3.0460559663785567	-8.823720419295096
0.10875	-3.18653959306995	-8.785883401574292
0.109	-3.32583565614126	-8.74795242424574
0.10925	-3.463809526616643	-8.709999839327203
0.1095	-3.5838365015376072	-8.675055884959155
0.10975	-3.702503107957034	-8.639825188815923
0.11	-3.81979300996351	-8.604357508623064
0.11025	-3.9356898716455593	-8.568702602106143
0.1105	-4.050177357091783	-8.532910226990715
0.11075	-4.163239130390752	-8.497030141002343
0.111	-4.274858855630967	-8.461112101866584
0.11125	-4.385020196901041	-8.425205867309005
0.1115	-4.493706818289513	-8.389361195055162
0.11175	-4.600902383884886	-8.353627842830615
0.112	-4.692134532842549	-8.321032019529843
0.11225	-4.781241262724145	-8.288383468674215
0.1125	-4.868307913146753	-8.25570976181747
0.11275	-4.953419823727678	-8.223038470513348
0.113	-5.036662334083957	-8.190397166315591
0.11325	-5.118120783832836	-8.157813420777936
0.1135	-5.1978805125914676	-8.125314805454131
0.11375	-5.276026859977052	-8.092928891897913
0.114	-5.352645165606707	-8.060683251663027
0.11425	-5.427820769097565	-8.028605456303207
0.1145	-5.500286156124609	-7.998307435618087
0.11475	-5.5695784976708875	-7.96976495432541
0.115	-5.636965932252409	-7.941384913275645
0.11525	-5.702549000887828	-7.913172031808053
0.1155	-5.766428244595696	-7.885131029261918
0.11575	-5.828704204394764	-7.857266624976495
0.116	-5.889477421303623	-7.8295835382910575
0.11625	-5.948848436340865	-7.802086488544871
0.1165	-6.00691779052511	-7.77478019507721
0.11675	-6.063786024875043	-7.747669377227332
0.117	-6.124657967914676	-7.722495373054012
0.11725	-6.184050061379405	-7.69755764385383
0.1175	-6.242023438469824	-7.672848820809252
0.11775	-6.29863923238651	-7.648361535102747
0.118	-6.3539585763301165	-7.624088417916795
0.11825	-6.40804260350121	-7.6000221004338595
0.1185	-6.460952447100344	-7.576155213836408
0.11875	-6.512749240328162	-7.552480389306914
0.119	-6.563494116385186	-7.5289902580278465
0.11925	-6.6193113705853	-7.506216134642333
0.1195	-6.6740767080149315	-7.48367437412365
0.11975	-6.72780812653	-7.4613540123179085
0.12	-6.780523623986355	-7.439244085071264
0.12025	-6.832241198239977	-7.417333628229827
0.1205	-6.882978847146723	-7.395611677639731
0.12075	-6.93275456856245	-7.374067269147094
0.121	-6.98158636034311	-7.35268943859805
0.12125	-7.0294922203445775	-7.331467221838723
0.1215	-7.076490146422742	-7.310389654715252
0.12175	-7.124033809811299	-7.289226258662057
0.122	-7.170656413053013	-7.2682436934893495
0.12225	-7.216366296464885	-7.2474326821504444
0.1225	-7.261171800363993	-7.226783947598666
0.12275	-7.305081265067298	-7.206288212787333
0.123	-7.348103030891865	-7.18593620066976
0.12325	-7.390245438154745	-7.165718634199267
0.1235	-7.4315168271729135	-7.1456262363291785
0.12375	-7.471925538263414	-7.1256497300128085
0.124	-7.511479911743303	-7.105779838203481
0.12425	-7.549418653583332	-7.085952033502308
0.1245	-7.585666523887569	-7.066198797038265
0.12475	-7.620982962207461	-7.0465806415136205
0.125	-7.655387498811154	-7.027089033887485
0.12525	-7.6888996639667315	-7.007715441118966
0.1255	-7.721538987942221	-6.988451330167177
0.12575	-7.7533250010057895	-6.969288167991229
0.126	-7.78427723342547	-6.950217421550232
0.12625	-7.814415215469385	-6.931230557803296
0.1265	-7.843758477405613	-6.912319043709536
0.12675	-7.871766875390185	-6.893472492600349
0.127	-7.898347269628874	-6.874729659633774
0.12725	-7.924047253982014	-6.856099858903237
0.1275	-7.9488934941188	-6.837574834296223
0.12775	-7.972912655708463	-6.819146329700228
0.128	-7.996131404420188	-6.800806089002732
0.12825	-8.0185764059232	-6.78254585609123
0.1285	-8.040274325886704	-6.764357374853204
0.12875	-8.061251829979952	-6.746232389176143
0.129	-8.081190573111021	-6.72801904114879
0.12925	-8.100272591548364	-6.709916145771438
0.1295	-8.118526324878104	-6.691916715701391
0.12975	-8.135980212686366	-6.67401376359596
0.13	-8.152662694559297	-6.6562003021124525
0.13025	-8.168602210083018	-6.638469343908176
0.1305	-8.183827198843654	-6.620813901640438
0.13075	-8.198366100427322	-6.603226987966544
0.131	-8.212247354420144	-6.585701615543807
0.13125	-8.22549940040831	-6.568230797029532
0.1315	-8.238434403208199	-6.553783722540593
0.13175	-8.250598136706875	-6.539422194442146
0.132	-8.26201658662692	-6.525118591260286
0.13225	-8.272715738691035	-6.5108452915211075
0.1325	-8.282721578621796	-6.4965746737507
0.13275	-8.292060092141927	-6.482279116475158
0.133	-8.300757264974006	-6.467930998220572
0.13325	-8.308839082840704	-6.453502697513033
0.1335	-8.316331531464677	-6.4389665928786375
0.13375	-8.323260596568536	-6.424295062843476
0.134	-8.330036786486174	-6.4182202136953315
0.13425	-8.336573823097783	-6.4207894465015025
0.1345	-8.342470774961456	-6.423137492211222
0.13475	-8.347747659872905	-6.425113216555911
0.135	-8.352424495627886	-6.426565485266986
0.13525	-8.356521300022115	-6.427343164075878
0.1355	-8.360058090851329	-6.427295118714019
0.13575	-8.363054885911254	-6.42627021491282
0.136	-8.36553170299764	-6.424117318403697
0.13625	-8.367508559906199	-6.420685294918059
0.1365	-8.369951949301264	-6.44357122098741
0.13675	-8.37181181970367	-6.465742079878559
0.137	-8.373100851145338	-6.486853866539756
0.13725	-8.373831723658245	-6.506562575919311
0.1375	-8.374017117274288	-6.524524202965381
0.13775	-8.373669712025412	-6.54039474262631
0.138	-8.372802187943595	-6.553830189850335
0.13825	-8.371427225060732	-6.564486539585657
0.1385	-8.369557503408757	-6.572019786780601
0.13875	-8.368600001078079	-6.596578837763435
0.139	-8.367101905688996	-6.619837040718917
0.13925	-8.365065808386008	-6.641307213842255
0.1395	-8.362494300313609	-6.660502175328398
0.13975	-8.359389972616349	-6.676934743372531
0.14	-8.355755416438669	-6.6901177361697055
0.14025	-8.351593222925098	-6.6995639719149995
